hot_JJ cold_JJ
high_JJ low_JJ
fast_JJ slow_JJ
happy_JJ sad_JJ
good_JJ evil_JJ
wet_JJ dry_JJ
visible_JJ invisible_JJ
tame_JJ wild_JJ
shallow_JJ deep_JJ
dangerous_JJ safe_JJ
strict_JJ lenient_JJ
sober_JJ drunk_JJ
soft_JJ hard_JJ
thick_JJ thin_JJ
new_JJ old_JJ
hard_JJ easy_JJ
noisy_JJ quiet_JJ
looose_JJ tight_JJ
weak_JJ strong_JJ
just_JJ unjust_JJ
near_JJ far_JJ
narrow_JJ wide_JJ
calm_JJ troubled_JJ
bitter_JJ sweet_JJ
spicy_JJ bland_JJ
beautiful_JJ ugly_JJ
ancient_JJ modern_JJ
bright_JJ dull_JJ
straight_JJ crooked_JJ
dead_JJ alive_JJ
win_VB lose_VB
come_VB go_VB
take_VB give_VB
admit_VB deny_VB
float_VB sink_VB
harm_VB heal_VB
enter_VB exit_VB
ascend_VB descend_VB
awake_VB asleep_VB
rise_VB fall_VB
scatter_VB collect_VB
go_VB stop_VB
build_VB destroy_VB
cold_NN heat_NN
order_NN chaos_NN
creation_NN destruction_NN
curse_NN blessing_NN
love_NN hate_NN
joy_NN grief_NN
marriage_NN divorce_NN
question_NN answer_NN
dust_NN dawn_NN
night_NN day_NN
friend_NN enemy_NN
sickness_NN health_NN
wisdom_NN folly_NN
stupidity_NN intelligence_NN
yin_NN yang_NN
top_NN bottom_NN
war_NN peace_NN
success_NN failure_NN
criticism_NN praise_NN
antonym_NN synonym_NN
